mV','seconds'
7.2017,0.30075
6.825,0.301
6.8183,0.30125
6.7417,0.3015
6.7767,0.30175
6.9,0.302
6.905,0.30225
6.9567,0.3025
6.9583,0.30275
6.95,0.303
6.9467,0.30325
6.9583,0.3035
6.9583,0.30375
6.9717,0.304
6.9717,0.30425
6.965,0.3045
6.9683,0.30475
6.9617,0.305
6.9617,0.30525
6.9667,0.3055
6.9667,0.30575
6.975,0.306
6.9767,0.30625
6.9783,0.3065
6.9783,0.30675
6.9667,0.307
6.9667,0.30725
6.9717,0.3075
6.9733,0.30775
6.9783,0.308
6.975,0.30825
6.9817,0.3085
6.9783,0.30875
6.9733,0.309
6.9783,0.30925
6.9683,0.3095
6.9667,0.30975
6.8983,0.31
6.88,0.31025
6.92,0.3105
6.9233,0.31075
7.02,0.311
7.0217,0.31125
7.0483,0.3115
7.0467,0.31175
7.0133,0.312
7.0117,0.31225
6.985,0.3125
6.985,0.31275
6.9683,0.313
6.9683,0.31325
6.96,0.3135
6.96,0.31375
6.9533,0.314
6.955,0.31425
6.9533,0.3145
6.955,0.31475
6.9633,0.315
6.9633,0.31525
6.9733,0.3155
6.9733,0.31575
6.985,0.316
6.985,0.31625
6.9933,0.3165
6.9933,0.31675
6.9983,0.317
6.9967,0.31725
7.0017,0.3175
6.9967,0.31775
6.99,0.318
6.9883,0.31825
6.9817,0.3185
6.9817,0.31875
6.9767,0.319
6.9767,0.31925
6.975,0.3195
6.975,0.31975
6.9683,0.32
6.9683,0.32025
6.96,0.3205
6.96,0.32075
6.9567,0.321
6.9583,0.32125
6.9633,0.3215
6.9617,0.32175
6.9717,0.322
6.9733,0.32225
6.9817,0.3225
6.9817,0.32275
6.9883,0.323
6.99,0.32325
6.985,0.3235
6.9833,0.32375
6.965,0.324
6.9633,0.32425
6.9433,0.3245
6.9433,0.32475
6.9333,0.325
6.9317,0.32525
6.94,0.3255
6.9417,0.32575
6.9533,0.326
6.9517,0.32625
6.9583,0.3265
6.9567,0.32675
6.9583,0.327
6.9567,0.32725
6.9667,0.3275
6.9667,0.32775
6.9783,0.328
6.9783,0.32825
6.99,0.3285
6.9917,0.32875
6.9867,0.329
6.9867,0.32925
6.9833,0.3295
6.9833,0.32975
6.97,0.33
6.9683,0.33025
6.965,0.3305
6.9667,0.33075
6.97,0.331
6.9717,0.33125
6.975,0.3315
6.975,0.33175
6.97,0.332
6.9733,0.33225
6.9617,0.3325
6.9633,0.33275
6.9533,0.333
6.9533,0.33325
6.9483,0.3335
6.95,0.33375
6.9467,0.334
6.9483,0.33425
6.9567,0.3345
6.9567,0.33475
6.965,0.335
6.965,0.33525
6.9717,0.3355
6.9717,0.33575
6.975,0.336
6.9733,0.33625
6.97,0.3365
6.97,0.33675
6.9733,0.337
6.9717,0.33725
6.9717,0.3375
6.9717,0.33775
6.9667,0.338
6.97,0.33825
6.9667,0.3385
6.9667,0.33875
6.9617,0.339
6.9617,0.33925
6.9567,0.3395
6.9583,0.33975
6.955,0.34
6.9567,0.34025
6.96,0.3405
6.96,0.34075
6.9633,0.341
6.965,0.34125
6.9617,0.3415
6.9617,0.34175
6.9567,0.342
6.9567,0.34225
6.95,0.3425
6.9517,0.34275
6.9417,0.343
6.9417,0.34325
